mean_score,median_score,std_score,var_score,min_score,max_score,ip_count,is_non_csnp,is_artefact
0.1351858,0.082193986,0.14144965,0.020008003,0.005029875,0.6078022,262,False,False
0.1499433,0.088569306,0.15582208,0.024280524,0.0051376554,0.6900771,285,False,False
0.1383166,0.07772209,0.14591017,0.021289779,0.0050476585,0.7195357,311,False,False
0.13376175,0.07962661,0.14209542,0.020191107,0.0050357594,0.61779827,321,False,False
0.14293596,0.08531312,0.14872722,0.022119787,0.0050216764,0.61109567,279,False,False
0.13164468,0.07142161,0.14105353,0.0198961,0.0050113807,0.6075167,280,False,False
0.13867052,0.0864854,0.13672577,0.018693935,0.005012993,0.5330306,276,False,False
0.13233827,0.08154267,0.14049673,0.01973933,0.00508879,0.70452666,277,False,False
0.13662186,0.06967933,0.148364,0.022011872,0.0050382367,0.5884892,252,False,False
0.13599317,0.094277054,0.13529356,0.018304348,0.0050243842,0.5980839,256,False,False
0.13036413,0.0756921,0.1306509,0.017069656,0.005252427,0.5021055,244,False,False
0.13939562,0.08884913,0.13871601,0.01924213,0.0050367913,0.6350407,244,False,False
0.11458483,0.059298024,0.12554319,0.015761094,0.0051152995,0.61615247,241,False,False
0.12388248,0.06796084,0.13258481,0.017578732,0.005062765,0.6278198,262,False,False
0.1295056,0.083324865,0.12684594,0.016089892,0.00500696,0.5739695,242,False,False
0.14173469,0.09253383,0.13726053,0.01884045,0.0051445914,0.6516105,252,False,False
0.1348124,0.088427596,0.13761453,0.01893776,0.005006047,0.6694943,282,False,False
0.14314115,0.08280674,0.14091948,0.019858297,0.0050348053,0.5630233,263,False,False
0.13651723,0.07939979,0.13961728,0.019492986,0.005170457,0.63331103,275,False,False
0.131447,0.06457015,0.1456393,0.021210806,0.005171862,0.73892415,255,False,False
0.114638604,0.054942675,0.13121323,0.017216913,0.0051805177,0.674641,252,False,False
0.12468982,0.06645515,0.13724577,0.018836403,0.005185832,0.5860336,231,False,False
0.12266905,0.07091375,0.13834515,0.019139381,0.005363979,0.60683775,240,False,False
0.11492807,0.06651783,0.13255121,0.017569821,0.005009544,0.64977264,277,False,False
0.114475906,0.06402418,0.12584661,0.01583737,0.005135338,0.65488756,290,False,False
0.1152792,0.058222383,0.13132384,0.017245952,0.0050662863,0.7512113,292,False,False
0.11867127,0.062201478,0.13084008,0.017119126,0.005006508,0.5700295,305,False,False
0.12757497,0.06889514,0.13002281,0.016905932,0.005000621,0.5303975,265,False,False
0.13077214,0.073055476,0.13703509,0.018778617,0.0050682,0.54252446,268,False,False
0.11675356,0.05701794,0.13643688,0.01861502,0.0050130486,0.66247934,277,False,False
0.1189512,0.06561878,0.12854394,0.016523546,0.005097031,0.5480657,267,False,False
0.124173276,0.05921199,0.13693078,0.018750036,0.005004878,0.53240395,268,False,False
0.1211355,0.06769364,0.13342653,0.01780264,0.0050033713,0.60265094,277,False,False
0.13007997,0.06700098,0.13437805,0.018057458,0.0050874352,0.5816319,266,False,False
0.13619833,0.07328768,0.13827688,0.019120496,0.0050188024,0.54944664,293,False,False
0.12278541,0.057851322,0.13897212,0.019313252,0.0050089,0.6087204,296,False,False
0.112019226,0.060043808,0.1264529,0.015990334,0.0050320625,0.56663114,292,False,False
0.10477474,0.046171375,0.121518955,0.014766857,0.0050717476,0.537576,282,False,False
0.11291147,0.049154405,0.1307978,0.017108066,0.0050191437,0.5769747,278,False,False
0.1289075,0.068472885,0.13780561,0.018990388,0.005013898,0.6172304,297,False,False
0.1447904,0.098653875,0.1375321,0.018915078,0.005030964,0.5574177,292,False,False
0.13110709,0.09559112,0.12949072,0.016767845,0.005057609,0.6524428,299,False,False
0.13032204,0.07125656,0.13422035,0.0180151,0.0050448156,0.5315056,274,False,False
0.13328253,0.07195298,0.13615642,0.018538574,0.0050271135,0.5953668,292,False,False
0.1280733,0.06436242,0.13927265,0.019396871,0.0050165076,0.6422788,275,False,False
0.14429729,0.09226371,0.14279474,0.020390337,0.005040806,0.58363324,242,False,False
0.123098046,0.06679186,0.13254938,0.017569337,0.0050175246,0.5993048,242,False,True
0.12673707,0.066738695,0.13829724,0.019126127,0.005035571,0.5958843,249,False,False
0.13173246,0.06710995,0.14321591,0.020510798,0.0050155898,0.6032878,245,False,False
0.13415906,0.07306658,0.14209668,0.020191466,0.0050156824,0.5572092,248,False,False
0.12911677,0.06559647,0.13916042,0.019365624,0.0050449576,0.57406497,253,False,False
0.1308849,0.08201718,0.13567841,0.018408632,0.005017661,0.6815387,266,False,False
0.1338938,0.08448409,0.13654605,0.01864482,0.005020756,0.6089592,268,False,False
0.13295488,0.0804962,0.14183626,0.020117523,0.0050945682,0.57139474,288,False,False
0.11055491,0.06542522,0.1125781,0.012673829,0.005087455,0.619198,289,False,False
0.1231787,0.06928441,0.13203017,0.017431965,0.0050908863,0.54931635,282,False,False
0.1192495,0.06304223,0.13190538,0.01739903,0.005289502,0.65489745,281,False,False
0.120251104,0.055621777,0.13341624,0.017799893,0.0050473073,0.6124265,274,False,False
0.10817223,0.04995565,0.12408111,0.015396123,0.0050317124,0.5285522,291,False,False
0.112141035,0.05105782,0.1196974,0.014327467,0.0050379797,0.5127967,303,False,False
0.11179137,0.05091597,0.12529421,0.01569864,0.005194192,0.56284606,274,False,False
0.10868329,0.052135333,0.12107445,0.014659023,0.005103185,0.50915563,302,False,False
0.13147584,0.079267465,0.1359289,0.018476665,0.0052781394,0.6673973,287,False,False
0.11932993,0.06989583,0.12677786,0.016072623,0.0050888043,0.6513055,299,False,False
0.12961265,0.06308316,0.1347843,0.018166805,0.005010303,0.5826291,302,False,False
0.11558887,0.058875084,0.12888587,0.016611565,0.005059333,0.56728953,325,False,False
0.120184176,0.058499873,0.13465542,0.01813208,0.005160799,0.6740161,291,False,False
0.12702186,0.06446339,0.13766608,0.018951949,0.005016671,0.6521287,281,False,False
0.12457127,0.06804736,0.13631774,0.018582528,0.00513475,0.7314514,335,False,False
0.11481747,0.059253387,0.12437381,0.015468845,0.005006427,0.5908738,308,False,False
0.12653315,0.060208183,0.13439426,0.018061817,0.005059815,0.54295075,294,False,False
0.12335547,0.068227425,0.13386187,0.017918998,0.0050637773,0.5939091,282,False,False
0.1258644,0.05903717,0.1376321,0.018942596,0.005004077,0.60613805,288,False,False
0.12412017,0.06372762,0.13121454,0.017217258,0.0050743097,0.5657539,271,False,False
0.116668195,0.0624482,0.1228521,0.015092639,0.0050621717,0.5135128,285,False,False
0.12618658,0.05688574,0.13968246,0.019511187,0.00504606,0.60949826,304,False,False
0.13029727,0.07436564,0.13470279,0.01814484,0.0050013443,0.5774132,306,False,False
0.1366906,0.07823348,0.14534104,0.021124016,0.005050836,0.6272904,299,False,False
0.12663923,0.07208178,0.13431941,0.018041706,0.0050602015,0.68288493,308,False,False
0.12288185,0.051597044,0.13831343,0.019130602,0.0050276984,0.700172,300,False,False
0.12926522,0.0783026,0.13309371,0.017713938,0.0052391477,0.52722996,301,False,False
0.13673171,0.090005994,0.14036691,0.019702869,0.0050577256,0.63474864,263,False,False
0.10993344,0.05408454,0.12460216,0.015525698,0.0050093858,0.534308,251,False,False
0.11653983,0.051537085,0.13176084,0.017360916,0.0050062276,0.639059,267,False,False
0.097149014,0.031157264,0.11924909,0.014220346,0.0050390973,0.49228388,189,False,False
