mean_score,median_score,std_score,var_score,min_score,max_score,skew_score,kurtosis_score,ip_count,is_non_csnp,is_artefact,dataset
0.11692662,0.04976603,0.12890005,0.016615221,0.0055435863,0.5445508,1.197022689480159,0.3745851587295306,189,False,False,EGT6_001_A_2
0.10996225,0.048387088,0.11837014,0.01401149,0.005016833,0.55255663,1.146030329714766,0.405742152472317,196,False,False,EGT6_001_A_2
0.10902842,0.042147513,0.13117304,0.017206367,0.0050553735,0.5742081,1.450311282000518,1.421847360071636,182,False,False,EGT6_001_A_2
0.10214302,0.040124096,0.1242085,0.0154277515,0.0051088487,0.6289552,1.6204975425086985,2.194976329425467,179,False,False,EGT6_001_A_2
0.11945367,0.06846116,0.12732758,0.016212313,0.0050247866,0.58606243,1.1965447959173547,0.6066686499732681,200,False,False,EGT6_001_A_2
0.10781823,0.047945373,0.12463632,0.015534213,0.005001471,0.6015278,1.5196399223408048,2.134112061535469,196,False,False,EGT6_001_A_2
0.11731613,0.0694184,0.123592034,0.01527499,0.0050317394,0.608771,1.2304568463948349,1.0527859476495918,176,False,False,EGT6_001_A_2
0.095610574,0.04023158,0.11781866,0.013881237,0.00501712,0.532791,1.6748208442554462,2.210843850537219,218,False,False,EGT6_001_A_2
0.11144771,0.0614843,0.12296693,0.015120867,0.005120412,0.5144146,1.2684798431771258,0.795665514656493,184,False,False,EGT6_001_A_2
0.12974244,0.063480996,0.14030685,0.019686012,0.005076437,0.6654195,1.266010710366096,1.0479145850631897,176,False,False,EGT6_001_A_2
0.120312594,0.050512582,0.13403833,0.017966272,0.005241943,0.634094,1.1877390910597168,0.5427120582421705,182,False,False,EGT6_001_A_2
0.11051731,0.056986995,0.124776304,0.015569125,0.0051096706,0.55613595,1.378678305302942,1.185473742413394,196,False,False,EGT6_001_A_2
0.11324203,0.062777415,0.11702688,0.013695291,0.0051195715,0.4632152,1.0768560020406377,0.2397420816254469,185,False,False,EGT6_001_A_2
0.12303051,0.0691748,0.1320825,0.01744579,0.005726962,0.5336212,1.2287908798018774,0.7014042902111397,190,False,False,EGT6_001_A_2
0.11962709,0.06914403,0.12487278,0.015593211,0.0050000055,0.5117494,1.092717894586824,0.1546732098516252,198,False,False,EGT6_001_A_2
0.10018019,0.047432933,0.11023486,0.012151724,0.005033882,0.47354195,1.2805108497182125,0.9282613353900748,227,False,False,EGT6_001_A_2
0.107941516,0.05245165,0.11436565,0.013079503,0.0050901687,0.4815555,1.1384866292932758,0.3373540179526344,203,False,False,EGT6_001_A_2
0.11393694,0.059784003,0.120448306,0.014507795,0.0050332155,0.46724227,1.0768029052818415,0.0567360860104511,198,False,False,EGT6_001_A_2
0.1082141,0.05536888,0.11456434,0.013124987,0.005207486,0.42175207,0.9834879189025544,-0.2961152361796575,217,False,False,EGT6_001_A_2
0.10101985,0.04585999,0.10907264,0.011896841,0.0051741833,0.60050243,1.3863203203644323,2.035216869358492,219,False,False,EGT6_001_A_2
0.12600778,0.06764055,0.1330617,0.017705416,0.0050188336,0.6988914,1.2848440983256502,1.242081644667314,219,False,False,EGT6_001_A_2
0.11646119,0.05047265,0.13293926,0.01767285,0.0051094275,0.5880213,1.2881299098189931,0.8841186424515421,231,False,False,EGT6_001_A_2
0.11177457,0.05948361,0.12003616,0.01440868,0.005121266,0.51036745,1.1877923281961271,0.4617366921909736,235,False,False,EGT6_001_A_2
0.109327964,0.055015158,0.11878573,0.014110049,0.0051971436,0.51706994,1.2925069006767684,0.7996391096469884,205,False,False,EGT6_001_A_2
0.11331298,0.055930763,0.121126994,0.014671749,0.00516959,0.5021472,1.2359512106598245,0.6624750315438193,199,False,False,EGT6_001_A_2
0.119572386,0.05256064,0.13664079,0.018670706,0.0051015564,0.5397327,1.2147602062155065,0.3263101041367218,191,False,False,EGT6_001_A_2
0.112643175,0.047345765,0.12943152,0.016752517,0.0051478175,0.51159585,1.2165134376812974,0.2494800504935828,196,False,False,EGT6_001_A_2
0.11588901,0.052502364,0.13731039,0.018854143,0.005151846,0.6100986,1.4371241750882844,1.1662112325578544,202,False,False,EGT6_001_A_2
