mean_score,median_score,std_score,var_score,min_score,max_score,skew_score,kurtosis_score,mean_score_log,median_score_log,std_score_log,var_score_log,min_score_log,max_score_log,skew_score_log,kurtosis_score_log,transform_inlier_ratio,valid_count,has_artefact,has_non_csnp
0.004920732,3.6529877e-09,0.05286584,0.002794797,0.0,0.9993589,15.047636559052068,246.7669882418628,-23.29832,-19.427721,15.7899,249.32094,-139.74767,-0.000641346,-1.8313088978215897,4.750259063099663,0.490566037735849,53,False,False
0.005919451,1.0800591e-08,0.05007222,0.002507227,1.8600000000000002e-43,0.9978441,13.377622959034737,209.6432886592038,-20.582752,-18.343666,11.962881,143.11052,-98.38668,-0.002158165,-1.096676716589345,1.8566193019030328,0.6818181818181818,22,False,False
0.006596054,2.7838913e-09,0.0578369,0.0033451072,0.0,0.99961436,12.895944771814646,186.2384131264213,-22.05138,-19.699417,13.250386,175.57274,-109.885025,-0.00038576126,-1.3205881851484866,3.067979288514306,0.9705882352941176,34,False,False
0.0070534856,1.1025013e-08,0.05390538,0.00290579,0.0,0.999184,12.50153215635058,184.41311663601343,-22.36352,-18.3231,15.651583,244.97205,-117.66781,-0.0008163452,-1.3519250167948178,2.2063160682516765,0.5789473684210527,19,False,False
0.0060431473,8.548301e-08,0.04876051,0.0023775876,4.3e-44,0.9937406,13.621408332087649,220.15169625463625,-18.77521,-16.274948,11.723077,137.43053,-99.85591,-0.0062789917,-1.4591093908163255,3.193325908376462,0.5789473684210527,19,False,False
0.0051658377,1.5195887e-08,0.0490597,0.0024068542,0.0,0.99797976,14.846935671120647,251.86460777490768,-21.22653,-18.002241,13.771293,189.6485,-127.44081,-0.0020222664,-1.5666344338902332,3.495718658299867,0.4594594594594595,37,False,False
0.0050440026,4.5911325e-08,0.04319085,0.0018654498,0.0,0.9982601,14.55544758334984,252.8847104650924,-20.276804,-16.896553,13.969694,195.15236,-130.88802,-0.0017414093,-1.8554828215710968,5.522013124049096,0.65,20,False,False
0.0051056594,4.7534447e-09,0.047898564,0.0022942727,0.0,0.9988567,14.704607521861528,247.89223705861744,-21.546879,-19.164396,13.068492,170.78549,-130.29724,-0.0011439323,-1.497280845405356,4.066694343967234,0.4411764705882353,34,False,False
0.0050688917,9.8103214e-09,0.050548844,0.0025551857,4.834e-41,0.9979712,14.415177137329456,232.17541908092545,-20.532055,-18.43983,11.370773,129.2945,-92.83029,-0.0020308495,-1.1139049478408485,1.880713473973031,0.5454545454545454,44,False,False
0.0051483195,2.0367569e-08,0.048372887,0.002339936,0.0,0.99905723,14.722862437484524,247.9387512034432,-21.538752,-17.709322,16.150476,260.83786,-203.48993,-0.0009431839,-2.813256931504193,13.46287761730623,0.5833333333333334,36,False,False
0.0053008297,3.661661e-08,0.050335843,0.002533697,0.0,0.9980673,14.543657939225223,238.4771578969267,-19.070374,-17.122765,10.927669,119.41395,-110.200165,-0.0019345284,-1.470275800886305,3.980715895241177,0.6923076923076923,39,False,False
0.0060348054,2.1814731e-08,0.05032492,0.0025325976,1.0135624999999999e-34,0.99109536,13.147456528118235,202.42491646382712,-19.425692,-17.64068,10.660403,113.6442,-78.27442,-0.008944511,-0.8192980574457753,0.6694324611502891,0.75,24,False,False
