,index,mean_score,median_score,std_score,var_score,min_score,max_score,valid_count,transform_inlier_ratio
140,140,0.00419826,2.0429674e-09,0.04452643,0.001982603,1e-45,0.9978037,61,0.7213114754098361
141,141,0.0041509382,7.799702e-10,0.05595224,0.003130653,0.0,0.9987495,149,0.5369127516778524
142,142,0.004131181,1.1513873e-09,0.0522196,0.0027268867,0.0,0.997995,116,0.6206896551724138
143,143,0.0041715815,6.6304415e-09,0.04652002,0.0021641122,0.0,0.99745077,81,0.5802469135802469
144,144,0.004364662,7.3333104e-09,0.045072913,0.0020315675,0.0,0.9950594,55,0.509090909090909
145,145,0.0041799014,3.7224561e-09,0.0412617,0.0017025277,0.0,0.9947543,38,0.868421052631579
146,146,0.0042565814,1.0968781e-08,0.0448645,0.0020128235,0.0,0.9985258,55,0.5454545454545454
147,147,0.0044145603,4.8382853e-09,0.044948895,0.002020403,0.0,0.9884873,48,0.4583333333333333
148,148,0.0041636364,2.779628e-09,0.044731554,0.0020009119,0.0,0.998561,62,0.5967741935483871
149,149,0.0041875187,5.9901933e-10,0.053058803,0.0028152366,0.0,0.9994303,110,0.6272727272727273
150,150,0.0044094278,8.3704454e-10,0.05175106,0.002678172,0.0,0.99959964,93,0.5591397849462365
151,151,0.0042795446,2.2120088e-09,0.047357667,0.0022427486,0.0,0.99922645,67,0.746268656716418
152,152,0.004488054,4.9824106e-10,0.053809952,0.002895511,0.0,0.99785465,105,0.5238095238095238
153,153,0.0043896167,6.5147483e-09,0.04847383,0.0023497122,0.0,0.9960054,79,0.4430379746835443
154,154,0.004409142,1.5848753e-09,0.050160013,0.002516027,0.0,0.99887484,84,0.30952380952380953
155,155,0.004300879,1.855268e-10,0.050533447,0.0025536292,0.0,0.9989325,91,0.4175824175824176
156,156,0.0041387635,1.558769e-09,0.049490422,0.002449302,0.0,0.99858433,92,0.5978260869565217
157,157,0.0041373605,5.0020726e-10,0.048670903,0.002368857,0.0,0.99866617,89,0.6179775280898876
158,158,0.0042597307,9.930721e-10,0.052448176,0.0027508112,0.0,0.99932504,115,0.6695652173913044
159,159,0.0042312625,6.879465e-10,0.042580806,0.001813125,0.0,0.99932736,48,0.6875
160,160,0.004349776,7.2756834e-10,0.04487694,0.00201394,0.0,0.99823576,53,0.7547169811320755
161,161,0.0043213386,5.6295235e-10,0.055925682,0.003127682,0.0,0.99935985,130,0.7461538461538462
162,162,0.0044361954,2.271754e-09,0.054363105,0.0029553473,0.0,0.99844676,115,0.782608695652174
163,163,0.004601899,5.734206e-10,0.051202573,0.0026217035,0.0,0.9993708,74,0.5
164,164,0.004918383,1.7783189e-09,0.04972919,0.0024729923,0.0,0.99871093,57,0.7368421052631579
165,165,0.0047485456,4.671839e-09,0.053832773,0.0028979676,0.0,0.9961289,95,0.6947368421052632
166,166,0.004641484,1.6996161e-09,0.050998107,0.002600807,0.0,0.99792504,71,0.4788732394366197
167,167,0.00477461,2.509839e-09,0.048827216,0.0023840968,0.0,0.9987749,63,0.38095238095238093
168,168,0.004790859,3.0446065e-10,0.05921304,0.003506184,0.0,0.9991011,120,0.4583333333333333
169,169,0.004780579,2.2500286e-09,0.042284008,0.0017879375,0.0,0.9982282,27,0.6666666666666666
170,170,0.0049015223,2.2770554e-09,0.05201591,0.002705655,0.0,0.99936557,64,0.328125
171,171,0.0047673243,4.5973453e-10,0.056078218,0.0031447667,0.0,0.9996406,93,0.5806451612903226
172,172,0.004729739,2.310963e-10,0.053959597,0.002911638,0.0,0.99789894,89,0.6179775280898876
173,173,0.0050086617,1.4998079e-10,0.05881363,0.0034590433,0.0,0.999084,102,0.4117647058823529
174,174,0.005076309,4.964254e-10,0.046542283,0.0021661841,0.0,0.9936426,49,0.5510204081632653
175,175,0.005291264,6.6226757e-09,0.051241208,0.0026256614,0.0,0.9964757,55,0.41818181818181815
176,176,0.005459251,3.3500444e-10,0.060281478,0.0036338565,0.0,0.99910015,87,0.42528735632183906
177,177,0.005461759,6.0267513e-10,0.056411024,0.0031822035,0.0,0.99944556,70,0.2857142857142857
178,178,0.005271444,5.107087e-10,0.052327547,0.0027381722,0.0,0.9964082,60,0.3
179,179,0.0043593436,6.222739e-07,0.037462138,0.0014034116,9.33e-43,0.99728906,11,0.2727272727272727
180,180,0.0051133106,5.7136536e-08,0.044841494,0.0020107597,3.9e-44,0.9984586,33,0.45454545454545453
181,181,0.005490348,4.34167e-09,0.048583463,0.002360353,0.0,0.99764293,40,0.375
182,182,0.005596037,1.4904822e-08,0.051772423,0.0026803839,0.0,0.9977161,39,0.48717948717948717
183,183,0.005872714,4.4676018e-10,0.062360473,0.0038888287,0.0,0.9984266,78,0.358974358974359
184,184,0.0057869614,3.929343e-09,0.047113013,0.002219636,0.0,0.9994556,26,0.3076923076923077
185,185,0.005529137,7.527407e-08,0.047656167,0.0022711102,1.614821e-39,0.9950793,25,0.16
186,186,0.005698095,8.807776e-10,0.0576274,0.0033209173,0.0,0.99838346,63,0.38095238095238093
187,187,0.005489377,1.8923303e-09,0.055417106,0.0030710557,0.0,0.997926,63,0.6031746031746031
188,188,0.0053784936,5.5173217e-09,0.052962717,0.0028050495,0.0,0.9990059,52,0.5961538461538461
189,189,0.005516689,2.0707982e-09,0.050120268,0.0025120412,9.9798e-40,0.99870294,48,0.7291666666666666
190,190,0.0053731804,5.155013e-09,0.05268986,0.0027762214,0.0,0.99815834,56,0.75
191,191,0.0053912005,2.2843802e-09,0.06037144,0.0036447109,0.0,0.9996286,86,0.8488372093023255
192,192,0.005234497,2.7391733e-09,0.05132124,0.0026338694,0.0,0.9969363,50,0.66
193,193,0.0051624184,1.968763e-09,0.05320445,0.0028307138,1.08e-43,0.9993612,63,0.5555555555555556
194,194,0.0052095004,2.045053e-09,0.055445112,0.0030741605,0.0,0.99685687,64,0.46875
195,195,0.004876602,2.4067224e-09,0.048050385,0.0023088395,7.76e-43,0.99702704,51,0.5098039215686274
196,196,0.0047015212,1.9939804e-08,0.046705242,0.0021813798,0.0,0.99326885,38,0.18421052631578946
197,197,0.00501658,6.613502e-10,0.049415093,0.0024418514,0.0,0.9989682,47,0.3404255319148936
198,198,0.0050039478,1.7694687e-10,0.05878147,0.0034552612,0.0,0.99995273,97,0.4020618556701031
199,199,0.0046813795,1.1623973e-09,0.056585412,0.003201909,0.0,0.99892,95,0.3473684210526316
200,200,0.004672743,2.6476819e-09,0.050284483,0.0025285291,0.0,0.99882436,68,0.5882352941176471
201,201,0.0047667893,3.2186795e-09,0.04681578,0.0021917173,0.0,0.9972025,53,0.6981132075471698
202,202,0.004892428,1.4112258e-09,0.04671574,0.0021823603,1.2174e-41,0.9968526,46,0.6956521739130435
203,203,0.005075823,1.06541025e-08,0.05031394,0.0025314924,0.0,0.9979303,55,0.2545454545454545
204,204,0.0050189365,3.2430618e-09,0.051070236,0.0026081689,1e-45,0.99843097,52,0.36538461538461536
205,205,0.005027073,2.3897084e-09,0.05670384,0.0032153253,0.0,0.9980798,87,0.6091954022988506
206,206,0.0051551447,4.0965813e-09,0.05455772,0.0029765447,0.0,0.99984694,72,0.4305555555555556
207,207,0.0051951664,3.271829e-08,0.047996886,0.0023037011,3.7831866e-37,0.9941194,37,0.6216216216216216
208,208,0.005008656,2.334342e-09,0.053788435,0.0028931957,0.0,0.9992288,74,0.5405405405405406
209,209,0.0051138597,2.3223694e-09,0.047032934,0.002212097,0.0,0.997995,29,0.4482758620689655
210,210,0.0052662003,1.4268591e-09,0.051812362,0.0026845208,3.60324e-40,0.9988367,52,0.5192307692307693
